229,Ohio State,33,20,13,.606,9.80,7.37,11,7,14,5,4,6,2324,2244,,1335,830,1869,.444,208,612,.340,456,679,.672,350,1241,379,183,178,425,584
230,Ohio,32,21,11,.656,2.31,-0.94,11,7,14,2,5,6,2508,2383,,1285,859,1818,.472,273,699,.391,517,689,.750,273,1136,448,138,117,379,590
231,Oklahoma State,32,12,20,.375,8.78,9.40,3,15,8,8,1,9,2128,2148,,1295,723,1709,.423,205,625,.328,477,654,.729,310,1111,389,179,132,399,636
232,Oklahoma,32,25,7,.781,20.93,10.96,12,6,14,1,7,5,2573,2254,,1295,884,1928,.459,334,784,.426,471,647,.728,342,1242,465,221,167,413,538
233,Old Dominion,35,22,13,.629,4.12,-2.53,12,6,11,4,7,6,2397,2164,,1410,907,2051,.442,143,475,.301,440,648,.679,464,1360,461,201,144,322,642
234,Oral Roberts,31,14,17,.452,-2.43,0.85,6,10,8,4,4,12,2356,2384,,1245,832,1821,.457,194,514,.377,498,665,.749,299,1101,384,162,133,373,563
235,Oregon State,31,19,12,.613,11.00,9.57,9,9,12,3,4,7,2234,2169,,1240,786,1783,.441,211,570,.370,451,672,.671,330,1074,418,231,104,352,623
236,Oregon,34,28,6,.824,18.15,8.99,14,4,18,0,5,5,2680,2350,,1365,933,1997,.467,234,670,.349,580,812,.714,398,1229,464,259,201,392,608
237,Pacific,28,8,20,.286,-3.44,2.49,6,12,6,8,2,11,1948,2009,,1140,685,1559,.439,190,576,.330,388,575,.675,282,993,362,125,71,377,637
238,Penn State,32,16,16,.500,3.60,7.38,7,11,11,4,3,8,2107,2228,,1290,732,1799,.407,211,665,.317,432,621,.696,333,1109,322,166,141,361,644
239,Pennsylvania,28,11,17,.393,-6.29,-2.26,5,9,9,6,2,11,1911,2013,,1130,685,1606,.427,200,657,.304,341,508,.671,287,1001,381,146,75,371,513
